code,title,pointsR1,pointsR2
DB502,Computing (Data Analytics and Big Data),267,233
DB503,Computing (Software Development),,
DB504,Computing (Web and Mobile Technology),,
DB510,Audio Production and Music Project Management,217,217
DB512,Business Studies,243,210
DB514,Business Studies (Law),239,225
DB515,Business Studies (Human Resource Management),242,217
DB517,Marketing (Event Management),233,225
DB518,Marketing (Digital Media),307,209
DB521,Accounting and Finance,243,228
DB524,Business (Information Systems),247,239
DB525,Marketing (Digital Media and Cloud Computing),288,288
DB526,Business (Cloud Computing),244,244
DB527,Applied Social Care,254,219
DB531,Marketing,288,176
DB562,Psychology,244,233
DB566,Social Science,262,228
DB567,Film and Creative Media,245,213
DB568,Law,254,228
DB569,Business (Psychology),240,240
DC001,Education - Early Childhood Education,445,
DC002,Education - Primary Teaching,518*,
DC003,Education - Primary Teaching - Gaeltacht Applicant,#489,
DC004,Education - Primary Teaching (Church of Ireland Ce,#451,
DC009,Arts (Joint Honours) - Humanities,356,
DC010,Post Primary Teacher Education - Religious Educati,384,
DC011,Post Primary Teacher Education - Religious Educati,409,
DC012,Post Primary Teacher Education - Religious Educati,409,
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,
DC014,BA in Jazz and Contemporary Music Performance (aud,#311,
DC110,Business Studies International,498,
DC111,Business Studies,511,
DC112,Global Business (France),542*,
DC113,Global Business (Germany),484,
DC114,Global Business (Spain),544,
DC115,Accounting and Finance,544,
DC116,Global Business (USA),613*,
DC117,Aviation Management / Aviation Management with Pil,484,
DC118,Gn· agus Gaeilge / Business and Irish,368,
DC119,Global Business (Canada),601,
DC120,Computing for Business,403,402
DC121,Computer Science,475,
DC123,Data Science,501,
DC126,Actuarial Mathematics,577*,
DC127,Common Entry into Actuarial and Financial Mathemat,541,
DC131,Communication Studies,421,
DC132,Journalism,452,
DC133,Multimedia,435,
DC155,Applied Language and Translation Studies,427,
DC161,Analytical Science,498,
DC162,Chemical and Pharmaceutical Sciences,531*,
DC163,Chemical Sciences General Entry (Undenominated Ent,466*,
DC166,Environmental Science and Technology,423*,
DC168,Genetics and Cell Biology,543*,
DC175,Physics General Entry (options),400,
DC180,Biological Sciences General Entry (Undenominated E,530,
DC181,Biotechnology,530,
DC190,Electronic and Computer Engineering (with choice o,488,
DC193,Mechatronic Engineering,490,
DC194,Sustainable Systems and Energy,476,
DC195,Mechanical and Manufacturing Engineering,500,
DC197,Biomedical Engineering,510,
DC200,Common Entry into Engineering (Undenominated Entry,511,510
DC202,Sport Science and Health,511,
DC203,Science Education,462,
DC204,Athletic Therapy and Training,558,
DC205,Physical Education with Biology,565,
DC206,Physical Education with Mathematics,521,
DC207,Psychology and Mathematics,521,
DC208,Psychology,565,
DC209,Health and Society,477,
DC210,Psychology and Disruptive Technologies,506,
DC215,General Nursing,456*,
DC216,Mental Health Nursing,420,
DC217,Intellectual Disability Nursing,382,
DC218,Children`s and General Nursing (Integrated),521*,
DC230,Economics  Politics and Law,431,
DC231,International Relations,398,
DC232,Law and Society (BCL),469,
DC235,Education and Training - Daytime and Flexible Deli,302,
DC238,Social Sciences and Cultural Innovation,387,
DC240,Marketing  Innovation and Technology,499,
DC241,Digital Business and Innovation,509,
DC291,Arts (Joint Honours) - Media Studies,350,
DC292,Arts (Joint Honours) - Law,400,
DC293,Arts (Joint Honours) - International Languages,379,
DC294,Climate and Environmental Sustainability,475,
DC295,Arts (Joint Honours) - Politics,349,
DL822,Arts Management,254,
DL823,Business Management,220,
DL825,Applied Psychology,418,413
DL826,Graphic Design,#591,
DL827,Art,#574,
DL832,Animation,#989,
DL833,Photography and Visual Media,#671,#671
DL836,Creative Computing,235,
DL837,New Media Studies,298,293
DL838,Creative Music Production,#713,
DL839,Interaction and User Experience Design,#757,
DL840,Digital Marketing,210,
DL841,English and Equality Studies,277,277
DL843,Film,#987,#874
DL844,Television,#566,
DL845,Design for Film (degree options),#628,
GC200,Business,269,242
GC201,Accounting and Finance,260,226
GC230,Computing Science,300,289
GC300,Business,264,264
GC301,Accounting and Finance,,251
GC302,Business - HRM,377,377
GC307,Business (Marketing),289,270
GC400,Business,250,228
GC401,Accounting and Finance,242,242
GC402,Business (HRM),,
GC403,Law,245,242
GC407,Business (Marketing),264,264
GC430,Computing Science,251,251
GC450,Communications and Media Production,225,225
GC462,Design Communication (portfolio),#300,
GC489,Interior Architecture (portfolio),#288,#274
GC494,Fashion Design (portfolio),#351,
BY001,Business,210,210
ID001,Accounting and Finance,,
ID002,Business Studies,,
AD101,First Year Art and Design (Common Entry portfolio),#554,
AD102,Graphic Design and Moving Image Design (portfolio),#538,
AD103,Textile and Surface Design and Jewellery and Objec,#505,
AD202,Education and Design or Fine Art (Second Level Tea,#591,
AD204,Fine Art (portfolio),#514,
AD211,Fashion Design (portfolio),#760,#679
AD212,Product Design (portfolio),#413,
AD215,Visual Culture,337,300
AD217,Illustration (portfolio),#738,
AD222,Interaction Design (portfolio),#444,
NC003,Computing (Degree Award options),271,
NC005,Human Resource Management,301,
NC009,Business,300,
NC010,Psychology,420,
NC020,Marketing Practice,270,
NC022,Accounting and Finance,330,
NC023,Technology Management (with specialisations),266,
NC030,Early Childhood Education and Care,251,251
RC001,Medicine - Undergraduate Entry (HPAT required),#741,#740*
RC004,Physiotherapy,589*,589*
RC005,Pharmacy,613*,613
RC101,Medicine - Graduate Entry (GAMSAT required),,
NM801,Montessori Education,262,
NM802,Psychology,228,
TU801,Sustainable Energy Engineering,235,
TU802,Electrical Services and Energy Management,309,
TU804,Engineering (Common Entry with Award options),270,
TU805,Engineering (General Entry),466,465
TU807,Computer Engineering in Mobile Systems,274,
TU810,Mechatronic Engineering,271,
TU811,Product Design,440,434
TU812,Design Technology and Innovation,278,
TU814,Sustainable Transport Management,253,253
TU828,Mechanical Engineering (General Entry),300,
TU829,Electronic Engineering (General Entry),248,248
TU831,Architectural Technology,423,
TU832,Architecture (Suitability Test and Interview),#644,#638
TU833,Construction Management,396,
TU834,Geographic Science,315,
TU835,Planning and Environmental Management,330,
TU836,Property Economics (Valuation Surveying),411,
TU837,Quantity Surveying and Construction Economics,413,
TU838,Sustainable Timber Technology,307,271
TU851,Analytical Chemistry (Environmental  Forensic and,400,
TU852,Chemical Sciences with Medicinal Chemistry,477,
TU854,Science (General Entry),510,
TU855,Science with Nanotechnology,322,
TU856,Computer Science,499,
TU857,Computer Science (Infrastructure),403,
TU858,Computer Science (International),395,
TU859,Computing,251,
TU860,Computing (Information Technology),270,
TU861,Computing with Language (French/German/Spanish),235,235
TU862,Computing with Artificial Intelligence Machine Lea,262,
TU863,Digital Forensics and Cyber Security,282,
TU864,DNA and Forensic Analysis,500,441
TU865,Cloud Computing,235,
TU866,Biomedical and Molecular Diagnostics,522,
TU867,Biomedical Science,576,566*
TU868,Clinical Measurement Science,542,
TU869,Environmental Health,387,
TU870,Human Nutrition and Dietetics,601*,
TU871,Optometry,532,
TU872,Public Health Nutrition,487,
TU874,Mathematical Sciences,294,294
TU875,Pharmaceutical Healthcare,451,
TU876,Pharmaceutical Science,445,
TU877,Physics Technology,314,314
TU878,Physics with Energy and Environment,339,
TU879,Physics with Medical Physics and Bioengineering,346,
TU880,Physics with Data Science,412,
TU881,Food Innovation,309,
TU882,Nutraceuticals in Health and Nutrition,380,
TU902,Business (options),270,
TU903,Business and Management,477,
TU904,Business and Law,462,
TU905,Economics and Finance,460,
TU906,Human Resource Management,386,377
TU907,Logistics and Supply Chain Management,300,
TU910,Accounting,420,
TU912,Business Analytics,331,311
TU914,Business Computing,322,
TU917,Law (LLB ) with a Language,356,
TU918,Law (LLB),463,
TU919,Advertising and Marketing Communications,219,
TU920,Digital Marketing,270,
TU921,Digital Marketing Technologies,230,
TU922,Marketing,412,
TU924,E-Commerce in Retailing,307,
TU925,Retail and Services Management,307,
TU932,Business (options),211,
TU933,Accounting and Finance (campus options),251,
TU935,Sports Management and Coaching,300,
TU936,Sports Science and Health,484,
TU941,Botanical Cuisine,311,
TU942,Culinary Arts,252,
TU943,Culinary Entrepreneurship,261,
TU944,Culinary Science,336,
TU951,International Hospitality and Tourism Management,244,
TU952,International Hospitality Management,309,
TU953,Tourism and Digital Marketing,308,
TU954,Event Management,326,
TU955,Sports and Leisure Management,275,
TU961,Commercial Modern Music (BIMM - assessment/auditio,#536,#536
TU962,Drama (Performance  audition),#448,
TU963,Music (audition),#364,
TU965,International Business and Languages,357,
TU967,Languages and International Tourism,298,
TU973,Design - Visual Communication (portfolio),#700,
TU974,Fine Art (portfolio),#549,
TU975,Interior Design (portfolio),#544,
TU976,Photography (portfolio),#700,
TU978,Creative Industries and Visual Culture,299,
TU981,Creative Digital Media,280,
TU982,Media Production and Digital Arts,369,
TU983,Film and Broadcasting,462,453
TU984,Game Design,414,
TU985,Journalism,367,
TU989,Early Childhood Care and Education (campus options,270,
TU991,Applied Social Studies in Social Care,326,
TU992,Community Development and Youth Work,251,
TU995,Early Childhood Education,378,
TU996,Social Care,407,
TU997,Applied Social Care,320,
TR002,Music,508,477*
TR003,History,552,543*
TR004,Law,590*,589
TR005,Philosophy,510,497
TR006,Psychology,601*,590
TR007,Clinical Speech and Language Studies,564*,
TR009,Music Education,#496,#486
TR015,Philosophy  Political Science  Economics and Socio,613*,613*
TR016,Deaf Studies,389,
TR018,Law and French,602*,602
TR019,Law and German,577,567
TR021,Classics  Ancient History and Archaeology,467,462
TR022,Early and Modern Irish,377,
TR023,English Studies,546,541*
TR024,European Studies,566,
TR025,Drama and Theatre Studies,#543,#519
TR028,Ancient and Medieval History and Culture,498,463
TR031,Mathematics,579,578
TR032,Engineering,556,555
TR033,Computer Science,566*,549
TR034,Management Science and Information Systems Studies,625*,625*
TR035,Theoretical Physics,590,589*
TR038,Engineering with Management,589*,589*
TR039,Computer Science  Linguistics and a Language,443,
TR040,Middle Eastern and European Languages and Cultures,520,499
TR041,Religion,417,
TR042,Film,531,522
TR043,History of Art and Architecture,498,486
TR051,Medicine (HPAT required),#743*,#743*
TR052,Dental Science,625*,625*
TR053,Physiotherapy,590*,
TR054,Occupational Therapy,578*,577*
TR055,Radiation Therapy,577,566
TR056,Human Health and Disease,601*,
TR060,Biological and Biomedical Sciences,578*,577*
TR061,Chemical Sciences,558,554*
TR062,Geography and Geoscience,495,
TR063,Physical Sciences,554,543
TR064,Environmental Science and Engineering,555,
TR072,Pharmacy,613*,613*
TR080,Global Business,613*,
TR081,Business  Economic and Social Studies (BESS),577,567*
TR084,Social Studies (Social Work),497,487*
TR085,Business Studies and French,564,
TR086,Business Studies and German,530,
TR087,Business Studies and Russian,487,
TR089,Business Studies and Polish,391,
TR090,Business Studies and Spanish,566,
TR091,General Nursing (Meath and St James`s),462,456*
TR093,General Nursing (Adelaide School of Nursing),#473,
TR095,Mental Health Nursing,442,
TR097,Intellectual Disability Nursing,412,410
TR911,Children`s and General Nursing (Integrated),531*,
TR913,Midwifery,521,
DN100,Architecture,555,
DN120,Landscape Architecture,463,435
DN130,City Planning and Environmental Policy,445,424
DN150,Engineering (Common Entry),565*,
DN200,Science (options),577,567
DN201,Computer Science (Common Entry),554,549
DN230,Actuarial and Financial Studies,613*,613*
DN240,Sustainability,510,
DN250,Agricultural Science (options),454,444
DN261,Food Science,531,
DN262,Human Nutrition,566,
DN300,Veterinary Medicine - Undergraduate Entry,#601*,
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
DN310,Veterinary Nursing,521,509
DN400,Medicine - Undergraduate Entry (HPAT required),#743*,
DN401,Medicine - Graduate Entry (GAMSAT required),#61*,
DN410,Radiography,566*,566*
DN411,Radiography - Graduate Entry,#,
DN420,Physiotherapy,601*,601*
DN425,Health and Performance Science,544,543
DN430,Sport and Exercise Management,484,476
DN440,Biomedical  Health and Life Sciences,613*,613*
DN450,General Nursing,462*,
DN451,Children`s and General Nursing (Integrated),533,
DN452,Midwifery,510,509*
DN453,Mental Health Nursing,442,
DN520,Joint Honours (options),381,378
DN530,Humanities (options),397,388
DN541,Modern Languages (options),320,
DN600,Law (options),576,567*
DN610,Business and Law,573,567
DN650,Commerce,555,
DN660,Commerce International (options),555,554*
DN670,Economics and Finance,625*,625
DN700,Social Sciences (options),475,474
DN710,Economics,534,532*
DN720,Psychology,566,564
DN750,Social Policy and Sociology,421,
DK810,Accounting and Finance,307,307
DK816,Business Studies,301,301
DK820,Computing in Games Development,309,309
DK821,Computing in Software Development,320,316
DK822,Augmented and Virtual Reality,320,320
DK830,Building Surveying,305,
DK831,Architectural Technology,368,314
DK832,Construction Management,358,305
DK843,Engineering (Common Entry),404,391
DK844,Mechanical Engineering,336,336
DK845,Electrical and Electronic Engineering,331,331
DK846,Civil Engineering,371,371
DK850,International Tourism Management,303,303
DK861,Arts,302,302
DK862,Social Care,322,319
DK863,Creative Media,336,320
DK864,Film and Television Production,308,
DK865,Audio and Music Production,352,
DK870,General Nursing,440*,440*
DK872,Intellectual Disability Nursing,367,366
DK874,Mental Health Nursing,398,
DK876,Early Childhood Studies,300,
DK877,Midwifery,482,477
DK880,Health and Physical Activity,301,
DK882,Agriculture (Award options),342,
DK883,Science (Award options),373,368
DK884,Sustainable Agriculture,348,
DK885,Agri-Food Production,,
DK886,Biopharmaceutical Science,379,
DK887,Environmental Science,377,
GA181,Accounting,303,
GA182,Business,285,
GA183,Business Information Systems,298,
GA184,Marketing and Sales,300,
GA185,Finance and Economics,318,
GA186,Business with Entrepreneurship,287,
GA187,Rural Enterprise and Agri-Business,291,
GA281,Film and Documentary,310,301
GA282,Heritage Studies,252,
GA283,Contemporary Art (portfolio),#790,
GA284,Design,331,
GA285,Education (Art  Design and Graphics),406,
GA380,International Hotel Management,218,
GA381,International Tourism Management,252,
GA382,Culinary and Gastronomic Science,235,
GA384,Event Management with Public Relations,230,
GA480,Construction Management,302,
GA482,Quantity Surveying and Construction Economics,304,
GA483,Architectural Technology,281,273
GA484,Civil Engineering,377,
GA580,Software and Electronic Engineering,300,
GA680,Mechanical Engineering,400,
GA681,Energy Engineering,312,
GA682,Biomedical Engineering,331,
GA683,Agricultural Engineering,304,
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,
GA685,Manufacturing Engineering Design,336,
GA780,Applied Freshwater and Marine Biology,366,
GA781,Applied Biology and Biopharmaceutical Science,381,
GA782,Chemical and Pharmaceutical Science,356,
GA783,Physics and Instrumentation,301,
GA784,Science (Undenominated),445,
GA785,Medical Science,517,510
GA786,Forensic Science and Analysis,408,
GA787,Computing in Software Development,310,
GA788,Computing and Digital Media,270,
GA789,Agriculture and Environmental Management,340,
GA790,Sport and Exercise Science,376,366
GA791,Public Health Nutrition,368,
GA880,General Nursing,440*,
GA882,Psychiatric Nursing,369,
GA885,Outdoor Education,269,
GA887,History and Geography,201,
GA889,Applied Social Care,265,
GA890,Early Childhood Education and Care,281,227
GA891,Geography and Outdoor Education,261,
GA892,Community Development and Youth Work (Level 8),,
GA980,Education (Design Graphics and Construction),410,
GA981,Furniture Design and Manufacture,346,
GA982,Furniture Making and Architectural Woodworking,360,
GA983,Furniture and Digital Manufacturing,,
GA984,Furniture Design  Making and Technology - Common E,486,467
GY101,Arts (Joint-Honours),327,326
GY104,BSc (Psychology),564,555
GY105,Arts (History),357,
GY109,Arts (Mathematics and Education),413,
GY110,Arts (Children and Youth Studies - options),387,
GY111,Arts (English and Creative Writing),421,420
GY113,Arts with Human Rights,413,
GY115,Arts with Performing Arts Studies,300,
GY118,Arts (Drama  Theatre and Performance Studies),453,430
GY119,Arts (Journalism),484,473
GY122,Na D·na (Cumars·id agus Gaeilge),410,
GY123,Applied Social Sciences,419,
GY125,Arts (Digital Arts and Technology),403,
GY127,Arts (Film and Digital Media),430,421
GY128,Arts (Global Languages),346,
GY129,Arts (Global Experience),465,
GY130,Arts (Music),462,
GY132,Government (Politics  Economics and Law),465,451
GY133,Education (Computer Science and Mathematical Studi,454,
GY134,Geography and Geosystems,425,
GY135,Arts (Global Media),442,
GY136,Na D·na (LÈann Teanga - options),526,
GY201,Commerce,476,
GY202,Commerce (International) with French,520,
GY203,Commerce (International) with German,518,
GY204,Commerce (International) with Spanish,506,
GY206,Business Information Systems (Work Placement and O,509,
GY207,Commerce (Accounting) including optional Global Ex,543,
GY208,Commerce (Gaeilge),508,
GY209,Commerce (Global Experience),551,
GY250,Law and Business,510,
GY251,Law (BCL),542,
GY252,Law (BCL) and Human Rights,565,
GY253,Law and Taxation,506,
GY254,Law (BCL)  Criminology and Criminal Justice,548,
GY261,Business Studies in International Hotel Management,#503,
GY262,Commerce in International Hotel Management (interv,#709,
GY301,Science,489,488
GY303,Biomedical Science,613,
GY304,Biotechnology,498,495
GY308,Environmental Science,431,430
GY309,Financial Mathematics and Economics,509,
GY310,Marine Science,467,
GY313,Environmental Health and Safety,412,
GY314,Earth and Ocean Sciences,422,
GY318,Biopharmaceutical Chemistry,555,
GY319,Mathematical Science,543,
GY320,Physics (Degree options: Applied Astrophysics Biom,465,
GY321,Genetics and Genomics,532,
GY322,Agricultural Sciences,485,
GY350,Computer Science and Information Technology,495,
GY401,Engineering (Undenominated),522,520
GY402,Civil Engineering,533,521
GY405,Mechanical Engineering,541,
GY406,Electronic and Computer Engineering,555,
GY408,Biomedical Engineering,554,
GY410,Project and Construction Management,431,
GY413,Energy Systems Engineering,509,
GY414,Electrical and Electronic Engineering,433,
GY501,Medicine (five year/six year course  HPAT required,#737*,#737*
GY502,Occupational Therapy,601,
GY503,Speech and Language Therapy,578,
GY504,Podiatric Medicine,531,526
GY515,General Nursing (Galway and Portiuncula),502,496
GY516,Mental Health Nursing,475,441
GY517,Midwifery,520,509
LY108,Business - Accounting,312,
LY118,Business,288,
LY128,Marketing with Online Technologies,261,261
LY208,Law,300,290
LY228,Sports and Exercise - Common Entry,290,
LY408,Design - Common Entry,#301,
LY508,Fire Safety Engineering,283,
LY518,Quantity Surveying,304,
LY528,Construction Management,262,
LY538,Architectural Technology,234,234
LY608,Mechanical Engineering,300,
LY618,Electronic Engineering,321,
LY708,Applied Computing,320,
LY748,Computer Science,316,
LY818,Science - Common Entry,302,
LY828,Agriculture - Common Entry,308,300
LY908,General Nursing,429*,
LY918,Psychiatric Nursing,367*,
LY928,Intellectual Disability Nursing,357,
LY968,Early Childhood Care  Health and Education,288,
LY978,Health and Social Care - Common Entry,279,
MI001,Contemporary and Applied Theatre Studies,209,
MI002,Arts,280,
MI004,Education - Primary Teaching - International,589,
MI005,Education - Primary Teaching,522,
MI006,Education - Primary Teaching - Gaeltacht Applicant,#485,
MI007,Early Childhood Care and Education,409,
MI008,Education and Psychology - Primary Teaching,590,
MI009,Education  Business Studies and Accounting,434,
MI010,Education  Business Studies and Religious Studies,370,
MI011,Education  Gaeilge and Religious Studies,407,
MI012,Education  Gaeilge and Business Studies,387,
MI013,Education  Mathematics and Gaeilge,509,
MI014,Education  Mathematics and Business Studies,476,
CI110,Counselling and Psychotherapy,292,
CI111,Counselling and Psychotherapy with Addiction Studi,290,
CI112,Counselling and Psychotherapy with Youth Studies,325,
LC110,Art and Design (Common Entry  portfolio),#794,
LC114,Fashion and Textiles for Product and Costume (port,#914,
LC115,Art and Design Teacher Education (LIT and UL  port,#993,
LC220,Digital Marketing,263,
LC223,Law and Taxation,331,
LC224,Accounting and Finance,300,
LC225,Marketing and Management,298,
LC226,Enterprise and Innovation,255,
LC233,Software Development,280,
LC234,Immersive Digital Media and Spatial Computing,226,
LC236,Internet Systems Development,260,
LC239,Computer Networks and Systems Management,317,
LC241,Construction Management,326,
LC242,Property Valuation and Management,308,
LC243,Quantity Surveying,278,
LC248,Built Environment (Common Entry),300,
LC252,Civil Engineering Management,264,
LC263,Medical Technology,391,
LC265,Forensic and Pharmaceutical Sciences,498,
LC266,Drug and Medicinal Product Analysis,252,
LC275,Electrical Engineering,361,347
LC288,Mechanical Engineering,378,369
LC289,Precision Engineering,261,
LC292,Social Care Work,374,
LC293,Business Studies with Travel and Tourism Managemen,271,264
LC294,Business Studies with Event Management,279,
LC295,Business Studies with Sports Management,262,
LC297,Community and Addiction Studies,272,262
LC320,Business,381,
LC330,Business with Computing,328,308
LC340,Interior Design,391,368
LC362,Biotechnology and Biopharmaceutical Sciences,429,
LC371,Creative Broadcast and Film Production,325,310
LC372,Music Technology and Production,377,
LC374,Renewable and Electrical Energy Engineering,337,319
LC375,Industrial Automation and Robotic Systems,309,
LC376,Electronic Engineering with Computer Systems,357,
LC380,Automotive Engineering and Transport Management,298,
LC392,Business Studies in Beauty and Spa Management,328,317
LC393,Early Childhood Education and Care,309,276
LC402,Social Care Work,228,
LC408,Environmental Science and Climate,279,
